id,alias,name,image_url,url,review_count,categories_0_alias,coordinates_latitude,coordinates_longitude,price,location_city,location_zip_code,location_country,location_state,location_display_address_0,wifi,credit_card,noise_level,rolled_amount,selected_amount
IoPgRTk7Cs3ydeM5R2NRZA,andytown-coffee-roasters-san-francisco,Andytown Coffee Roasters,https://s3-media4.fl.yelpcdn.com/bphoto/h4sEWLMqswechk6L-LKgFw/o.jpg,https://www.yelp.com/biz/andytown-coffee-roasters-san-francisco?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,828,coffee,37.75681,-122.502,$,San Francisco,94122,US,CA,3655 Lawton St,,,,0,0
vJaF4HdnmSVF_V0BjeKjtg,blue-bottle-coffee-san-francisco-10,Blue Bottle Coffee,https://s3-media1.fl.yelpcdn.com/bphoto/Mrk3g0YcMN25gakI3PaLiQ/o.jpg,https://www.yelp.com/biz/blue-bottle-coffee-san-francisco-10?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,1517,coffee,37.79604,-122.394,$,San Francisco,94111,US,CA,1 Ferry Building,,,,0,0
TcbKvh-e1lxywJuN6in5JQ,farm-table-san-francisco,Farm : Table,https://s3-media3.fl.yelpcdn.com/bphoto/SdBbyNaFbyo-Eht2K24FKQ/o.jpg,https://www.yelp.com/biz/farm-table-san-francisco?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,1779,coffee,37.78768,-122.414,$$,San Francisco,94109,US,CA,754 Post St,,,,0,0
qkHlhvv6DrCkvY54ogcPiA,xox-truffles-san-francisco,XOX Truffles,https://s3-media4.fl.yelpcdn.com/bphoto/YC1OatOZvEIKFkml_VfWgQ/o.jpg,https://www.yelp.com/biz/xox-truffles-san-francisco?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,630,chocolate,37.80175,-122.412,$,San Francisco,94133,US,CA,754 Columbus Ave,,,,0,0
I0UVBT1-k0LqUICRLr9l5A,dynamo-donut-and-coffee-san-francisco-4,Dynamo Donut & Coffee,https://s3-media1.fl.yelpcdn.com/bphoto/Rv_4ShGRhQzJwIll6HoXUQ/o.jpg,https://www.yelp.com/biz/dynamo-donut-and-coffee-san-francisco-4?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,1865,coffee,37.75297,-122.408,$,San Francisco,94110,US,CA,2760 24th St,no,yes,average,0,0
lvoKIKQ8zD4ZvcbUmImrQg,taylor-street-coffee-shop-san-francisco,Taylor Street Coffee Shop,https://s3-media2.fl.yelpcdn.com/bphoto/YGz3mrOD7UwAT4egg5QeJA/o.jpg,https://www.yelp.com/biz/taylor-street-coffee-shop-san-francisco?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,1181,burgers,37.78568,-122.411,$$,San Francisco,94102,US,CA,375 Taylor St,,,,0,0
U9HWtltvf_U2y1wYSOwFUA,fresh-brew-coffee-san-francisco,Fresh Brew Coffee,https://s3-media4.fl.yelpcdn.com/bphoto/SlLWGAvf2uyQ94KFUh4k_Q/o.jpg,https://www.yelp.com/biz/fresh-brew-coffee-san-francisco?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,576,coffee,37.79001,-122.412,$,San Francisco,94108,US,CA,882 Bush St,,,,0,0
Bsz2u4raa8xnolhl3PDV2Q,home-coffee-roasters-san-francisco-2,Home Coffee Roasters,https://s3-media3.fl.yelpcdn.com/bphoto/93UR51I17CIo4KL_euuv-Q/o.jpg,https://www.yelp.com/biz/home-coffee-roasters-san-francisco-2?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,606,coffee,37.78232,-122.481,$$,San Francisco,94121,US,CA,2018 Clement St,yes,yes,average,0,0
Av-PbVkajf1XrgqIS8POSQ,stella-pastry-and-cafe-san-francisco,Stella Pastry & Cafe,https://s3-media3.fl.yelpcdn.com/bphoto/vEpKKec_SjFXWU6TOEp66Q/o.jpg,https://www.yelp.com/biz/stella-pastry-and-cafe-san-francisco?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,1312,bakeries,37.79918,-122.408,$,San Francisco,94133,US,CA,446 Columbus Ave,,,,0,0
F4YgPOvuCClXTwB9PJk8Qg,black-sugar-san-francisco,Black Sugar,https://s3-media3.fl.yelpcdn.com/bphoto/SvurG2NbWLjnay-RiTbgfQ/o.jpg,https://www.yelp.com/biz/black-sugar-san-francisco?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,724,tea,37.78642,-122.41,,San Francisco,94102,US,CA,320 O'Farrell St,,,,0,0
